State,Total Students,"American Indian or
Alaska Native Number","American Indian or
Alaska Native Percent ",Asian Number,Asian Percent ,Hispanic or Latino of any race Number,Hispanic or Latino of any race Percent ,Black or African American Number, Black or African American Percent ,White Number,White Percent ,Native Hawaiian or Other Pacific Islander Number,Native Hawaiian or Other Pacific Islander Percent ,Two or more races Number,Two or more races Percent ,Students With Disabilities Served Under IDEA  Number,Students With Disabilities Served Under IDEA  Percent,Number of Schools,Percent of Schools Reporting
"50 states, District of Columbia, and Puerto Rico","4,754,139 ","32,253 ",0.7 ,"506,009 ",10.6 ,"3,636,094 ",76.5 ,"206,234 ",4.3 ,"310,235 ",6.5 ,"28,651 ",0.6 ,"34,663 ",0.7 ,"660,357 ",13.9 ," 97,632 ",100.0 
Alabama,"24,834 ",878 ,3.5 ,"1,800 ",7.2 ,"19,644 ",79.1 ,314 ,1.3 ,"1,886 ",7.6 ,145 ,0.6 ,167 ,0.7 ,"2,567 ",10.3 ," 1,390 ",100.0 
Alaska,"13,609 ","5,407 ",39.7 ,"2,915 ",21.4 ,"1,823 ",13.4 ,375 ,2.8 ,"1,003 ",7.4 ,"1,484 ",10.9 ,602 ,4.4 ,"2,138 ",15.7 , 506 ,100.0 
Arizona,"70,624 ","1,618 ",2.3 ,"2,944 ",4.2 ,"60,083 ",85.1 ,"2,724 ",3.9 ,"2,793 ",4.0 ,235 ,0.3 ,227 ,0.3 ,"8,051 ",11.4 ," 2,000 ",100.0 
Arkansas,"34,658 ",108 ,0.3 ,"2,215 ",6.4 ,"28,468 ",82.1 ,170 ,0.5 ,805 ,2.3 ,"2,799 ",8.1 ,93 ,0.3 ,"4,745 ",13.7 ," 1,088 ",100.0 
California,"1,090,375 ","1,517 ",0.1 ,"132,019 ",12.1 ,"889,277 ",81.6 ,"5,287 ",0.5 ,"48,302 ",4.4 ,"4,306 ",0.4 ,"9,667 ",0.9 ,"178,483 ",16.4 ," 10,121 ",100.0 
Colorado,"124,998 ",560 ,0.4 ,"9,187 ",7.3 ,"102,573 ",82.1 ,"5,403 ",4.3 ,"6,132 ",4.9 ,424 ,0.3 ,719 ,0.6 ,"16,740 ",13.4 ," 1,908 ",100.0 
Connecticut,"35,795 ",80 ,0.2 ,"3,562 ",10.0 ,"25,626 ",71.6 ,"1,851 ",5.2 ,"4,369 ",12.2 ,50 ,0.1 ,257 ,0.7 ,"6,860 ",19.2 ," 1,214 ",100.0 
Delaware,"12,262 ",29 ,0.2 ,"1,325 ",10.8 ,"8,863 ",72.3 ,"1,028 ",8.4 ,903 ,7.4 ,47 ,0.4 ,67 ,0.5 ,"1,924 ",15.7 , 231 ,100.0 
District of Columbia,"9,296 ",61 ,0.7 ,361 ,3.9 ,"7,145 ",76.9 ,"1,216 ",13.1 ,404 ,4.3 ,19 ,0.2 ,90 ,1.0 ,"1,604 ",17.3 , 228 ,100.0 
Florida,"290,057 ",982 ,0.3 ,"10,603 ",3.7 ,"229,277 ",79.0 ,"29,767 ",10.3 ,"17,785 ",6.1 ,403 ,0.1 ,"1,240 ",0.4 ,"35,250 ",12.2 ," 3,976 ",100.0 
Georgia,"106,585 ",292 ,0.3 ,"12,146 ",11.4 ,"84,025 ",78.8 ,"5,377 ",5.0 ,"4,231 ",4.0 ,148 ,0.1 ,366 ,0.3 ,"10,919 ",10.2 ," 2,416 ",100.0 
Hawaii,"14,763 ",3 ,0.0 ,"6,796 ",46.0 ,"1,225 ",8.3 ,39 ,0.3 ,253 ,1.7 ,"5,860 ",39.7 ,587 ,4.0 ,"1,655 ",11.2 , 292 ,100.0 
Idaho,"15,091 ",81 ,0.5 ,595 ,3.9 ,"12,511 ",82.9 ,415 ,2.8 ,"1,161 ",7.7 ,61 ,0.4 ,267 ,1.8 ,"1,690 ",11.2 , 725 ,100.0 
Illinois,"201,752 ","1,070 ",0.5 ,"19,238 ",9.5 ,"151,947 ",75.3 ,"4,941 ",2.4 ,"22,758 ",11.3 ,252 ,0.1 ,"1,546 ",0.8 ,"39,187 ",19.4 ," 4,145 ",100.0 
Indiana,"55,574 ",59 ,0.1 ,"8,904 ",16.0 ,"39,034 ",70.2 ,"2,405 ",4.3 ,"4,558 ",8.2 ,208 ,0.4 ,406 ,0.7 ,"7,062 ",12.7 ," 1,886 ",100.0 
Iowa,"28,354 ",83 ,0.3 ,"3,688 ",13.0 ,"18,125 ",63.9 ,"3,999 ",14.1 ,"1,666 ",5.9 ,606 ,2.1 ,187 ,0.7 ,"4,324 ",15.3 ," 1,343 ",100.0 
Kansas,"46,541 ",133 ,0.3 ,"4,014 ",8.6 ,"38,741 ",83.2 ,"1,372 ",2.9 ,"1,711 ",3.7 ,238 ,0.5 ,332 ,0.7 ,"5,753 ",12.4 ," 1,350 ",100.0 
Kentucky,"24,511 ",37 ,0.2 ,"3,538 ",14.4 ,"15,090 ",61.6 ,"3,332 ",13.6 ,"2,176 ",8.9 ,166 ,0.7 ,172 ,0.7 ,"3,963 ",16.2 ," 1,401 ",100.0 
Louisiana,"8,654 ",12 ,0.1 ,875 ,10.1 ,"6,459 ",74.6 ,304 ,3.5 ,829 ,9.6 ,17 ,0.2 ,158 ,1.8 ,476 ,5.5 ," 1,365 ",100.0 
Maine,"5,384 ",57 ,1.1 ,704 ,13.1 ,500 ,9.3 ,"3,036 ",56.4 ,"1,002 ",18.6 ,10 ,0.2 ,75 ,1.4 ,729 ,13.5 , 579 ,100.0 
Maryland,"80,691 ",174 ,0.2 ,"8,234 ",10.2 ,"61,284 ",75.9 ,"7,280 ",9.0 ,"3,321 ",4.1 ,134 ,0.2 ,264 ,0.3 ,"8,891 ",11.0 ," 1,414 ",100.0 
Massachusetts,"93,311 ",236 ,0.3 ,"12,901 ",13.8 ,"52,673 ",56.4 ,"12,714 ",13.6 ,"11,750 ",12.6 ,101 ,0.1 ,"2,936 ",3.1 ,"16,732 ",17.9 ," 1,870 ",99.5 
Michigan,"94,464 ",143 ,0.2 ,"16,135 ",17.1 ,"37,394 ",39.6 ,"3,847 ",4.1 ,"36,018 ",38.1 ,153 ,0.2 ,774 ,0.8 ,"9,783 ",10.4 ," 3,559 ",100.0 
Minnesota,"71,597 ",63 ,0.1 ,"18,637 ",26.0 ,"27,284 ",38.1 ,"21,641 ",30.2 ,"3,059 ",4.3 ,123 ,0.2 ,790 ,1.1 ,"10,687 ",14.9 ," 2,232 ",100.0 
Mississippi,"12,638 ",46 ,0.4 ,"1,496 ",11.8 ,"10,044 ",79.5 ,382 ,3.0 ,414 ,3.3 ,47 ,0.4 ,209 ,1.7 ,"1,282 ",10.1 , 960 ,100.0 
Missouri,"35,180 ",63 ,0.2 ,"5,088 ",14.5 ,"18,664 ",53.1 ,"4,290 ",12.2 ,"5,713 ",16.2 ,910 ,2.6 ,452 ,1.3 ,"3,427 ",9.7 ," 2,381 ",100.0 
Montana,"1,962 ",736 ,37.5 ,131 ,6.7 ,407 ,20.7 ,54 ,2.8 ,553 ,28.2 ,26 ,1.3 ,55 ,2.8 ,334 ,17.0 , 823 ,100.0 
Nebraska,"20,876 ",65 ,0.3 ,"2,687 ",12.9 ,"14,202 ",68.0 ,"1,600 ",7.7 ,"2,198 ",10.5 ,46 ,0.2 ,78 ,0.4 ,"2,206 ",10.6 ," 1,055 ",100.0 
Nevada,"81,258 ",162 ,0.2 ,"5,095 ",6.3 ,"71,272 ",87.7 ,"1,338 ",1.6 ,"2,375 ",2.9 ,555 ,0.7 ,461 ,0.6 ,"13,437 ",16.5 , 704 ,100.0 
New Hampshire,"4,789 ",14 ,0.3 ,"1,153 ",24.1 ,"2,056 ",42.9 ,697 ,14.6 ,783 ,16.4 ,12 ,0.3 ,74 ,1.5 ,824 ,17.2 , 491 ,100.0 
New Jersey,"77,873 ",63 ,0.1 ,"8,366 ",10.7 ,"58,951 ",75.7 ,"3,127 ",4.0 ,"6,945 ",8.9 ,106 ,0.1 ,315 ,0.4 ,"6,207 ",8.0 ," 2,561 ",100.0 
New Mexico,"36,889 ","7,758 ",21.0 ,586 ,1.6 ,"26,860 ",72.8 ,275 ,0.7 ,"1,092 ",3.0 ,30 ,0.1 ,288 ,0.8 ,"8,126 ",22.0 , 866 ,100.0 
New York,"241,791 ",920 ,0.4 ,"46,803 ",19.4 ,"154,601 ",63.9 ,"15,094 ",6.2 ,"22,923 ",9.5 ,874 ,0.4 ,576 ,0.2 ,"52,545 ",21.7 ," 4,873 ",100.0 
North Carolina,"106,121 ",231 ,0.2 ,"10,383 ",9.8 ,"86,027 ",81.1 ,"3,546 ",3.3 ,"5,045 ",4.8 ,332 ,0.3 ,557 ,0.5 ,"17,665 ",16.6 ," 2,661 ",100.0 
North Dakota,"3,644 ",104 ,2.9 ,742 ,20.4 ,981 ,26.9 ,"1,299 ",35.6 ,472 ,13.0 ,21 ,0.6 ,25 ,0.7 ,443 ,12.2 , 483 ,100.0 
Ohio,"41,535 ",71 ,0.2 ,"8,054 ",19.4 ,"18,437 ",44.4 ,"8,770 ",21.1 ,"5,592 ",13.5 ,188 ,0.5 ,423 ,1.0 ,"5,709 ",13.7 ," 3,593 ",100.0 
Oklahoma,"45,406 ",820 ,1.8 ,"3,820 ",8.4 ,"37,695 ",83.0 ,550 ,1.2 ,"1,127 ",2.5 ,996 ,2.2 ,398 ,0.9 ,"7,378 ",16.2 ," 1,816 ",100.0 
Oregon,"50,710 ",598 ,1.2 ,"4,720 ",9.3 ,"37,673 ",74.3 ,"1,675 ",3.3 ,"4,536 ",8.9 ,"1,103 ",2.2 ,405 ,0.8 ,"9,328 ",18.4 ," 1,289 ",100.0 
Pennsylvania,"61,766 ",50 ,0.1 ,"10,792 ",17.5 ,"38,936 ",63.0 ,"4,547 ",7.4 ,"6,194 ",10.0 ,119 ,0.2 ,"1,128 ",1.8 ,"10,456 ",16.9 ," 3,006 ",100.0 
Rhode Island,"11,702 ",89 ,0.8 ,725 ,6.2 ,"8,627 ",73.7 ,"1,034 ",8.8 ,979 ,8.4 ,20 ,0.2 ,228 ,1.9 ,"1,691 ",14.5 , 312 ,100.0 
South Carolina,"46,542 ",384 ,0.8 ,"3,903 ",8.4 ,"36,620 ",78.7 ,614 ,1.3 ,"4,296 ",9.2 ,232 ,0.5 ,493 ,1.1 ,"5,994 ",12.9 ," 1,243 ",100.0 
South Dakota,"5,096 ",25 ,0.5 ,882 ,17.3 ,"1,914 ",37.6 ,"1,217 ",23.9 ,"1,024 ",20.1 ,5 ,0.1 ,29 ,0.6 ,656 ,12.9 , 698 ,100.0 
Tennessee,"42,304 ",64 ,0.2 ,"4,148 ",9.8 ,"29,476 ",69.7 ,"2,816 ",6.7 ,"5,345 ",12.6 ,129 ,0.3 ,326 ,0.8 ,"4,454 ",10.5 ," 1,777 ",100.0 
Texas,"954,145 ","3,179 ",0.3 ,"57,017 ",6.0 ,"849,432 ",89.0 ,"16,740 ",1.8 ,"24,680 ",2.6 ,964 ,0.1 ,"2,133 ",0.2 ,"76,745 ",8.0 ," 8,758 ",100.0 
Utah,"42,472 ","1,133 ",2.7 ,"2,688 ",6.3 ,"32,625 ",76.8 ,"1,894 ",4.5 ,"2,612 ",6.1 ,"1,179 ",2.8 ,341 ,0.8 ,"7,802 ",18.4 ," 1,029 ",100.0 
Vermont,"2,341 ",18 ,0.8 ,717 ,30.6 ,138 ,5.9 ,490 ,20.9 ,893 ,38.1 ,16 ,0.7 ,69 ,2.9 ,245 ,10.5 , 302 ,100.0 
Virginia,"113,233 ",365 ,0.3 ,"16,298 ",14.4 ,"77,904 ",68.8 ,"7,277 ",6.4 ,"10,304 ",9.1 ,118 ,0.1 ,967 ,0.9 ,"17,380 ",15.3 ," 1,982 ",100.0 
Washington,"113,677 ","1,457 ",1.3 ,"15,063 ",13.3 ,"74,361 ",65.4 ,"6,067 ",5.3 ,"11,976 ",10.5 ,"2,531 ",2.2 ,"2,222 ",2.0 ,"18,299 ",16.1 ," 2,339 ",100.0 
West Virginia,"2,131 ",7 ,0.3 ,511 ,24.0 ,"1,110 ",52.1 ,99 ,4.6 ,347 ,16.3 ,22 ,1.0 ,35 ,1.6 ,254 ,11.9 , 691 ,100.0 
Wisconsin,"41,383 ",67 ,0.2 ,"10,686 ",25.8 ,"25,564 ",61.8 ,"1,874 ",4.5 ,"2,775 ",6.7 ,66 ,0.2 ,351 ,0.8 ,"6,464 ",15.6 ," 2,235 ",100.0 
Wyoming,"1,916 ",69 ,3.6 ,108 ,5.6 ,"1,549 ",80.8 ,17 ,0.9 ,126 ,6.6 ,11 ,0.6 ,36 ,1.9 ,418 ,21.8 , 366 ,100.0 
Puerto Rico,979 ,12 ,1.2 ,11 ,1.1 ,897 ,91.6 ,14 ,1.4 ,41 ,4.2 ,4 ,0.4 ,0 ,0.0 ,375 ,38.3 ," 1,099 ",100.0 
,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,
            Data reported in this table represent 100.0% of responding schools.,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2017-18, available at http://ocrdata.ed.gov.",,,,,,,,,,,,,,,,,,,